target.cost,metadata.benchmark,metadata.db_engine,metadata.hardware,metadata.hardware_specs.cores,metadata.hardware_specs.ram_gb,metadata.hardware_specs.threads,metadata.source_run_history,metadata.workload,metadata.workload_key,features.autovacuum_analyze_scale_factor,features.autovacuum_analyze_threshold,features.autovacuum_max_workers,features.autovacuum_naptime,features.autovacuum_vacuum_cost_delay,features.autovacuum_vacuum_cost_limit,features.autovacuum_vacuum_scale_factor,features.autovacuum_vacuum_threshold,features.backend_flush_after,features.bgwriter_delay,features.bgwriter_flush_after,features.bgwriter_lru_maxpages,features.bgwriter_lru_multiplier,features.binlog_group_commit_sync_delay,features.binlog_group_commit_sync_no_delay_count,features.checkpoint_completion_target,features.checkpoint_flush_after,features.checkpoint_timeout,features.commit_delay,features.commit_siblings,features.cursor_tuple_fraction,features.deadlock_timeout,features.default_statistics_target,features.effective_cache_size,features.effective_io_concurrency,features.from_collapse_limit,features.geqo_effort,features.geqo_generations,features.geqo_pool_size,features.geqo_seed,features.geqo_threshold,features.innodb_buffer_pool_size,features.innodb_flush_log_at_timeout,features.innodb_flush_neighbors,features.innodb_io_capacity,features.innodb_io_capacity_max,features.innodb_lock_wait_timeout,features.innodb_log_buffer_size,features.innodb_lru_scan_depth,features.innodb_max_dirty_pages_pct,features.innodb_page_cleaners,features.innodb_purge_batch_size,features.innodb_purge_threads,features.innodb_read_io_threads,features.innodb_redo_log_capacity,features.innodb_sort_buffer_size,features.innodb_stats_persistent_sample_pages,features.innodb_write_io_threads,features.join_buffer_size,features.join_collapse_limit,features.maintenance_work_mem,features.max_connections,features.max_heap_table_size,features.max_wal_senders,features.myisam_sort_buffer_size,features.optimizer_search_depth,features.shared_buffers,features.sort_buffer_size,features.temp_buffers,features.temp_file_limit,features.temptable_max_mmap,features.temptable_max_ram,features.tmp_table_size,features.vacuum_cost_delay,features.vacuum_cost_limit,features.vacuum_cost_page_dirty,features.vacuum_cost_page_hit,features.vacuum_cost_page_miss,features.wal_buffers,features.wal_writer_delay,features.work_mem
4.770877879786505,job,postgresql,hetzner-4c-8t-32gb,4,32,8,/home/E2ETune-AI4DB/data/postgresql/hetzner-4c-8t-32gb/job/job_134/run_history.jsonl,job_134,data/postgresql/hetzner-4c-8t-32gb/job/job_134,0.1,50,3,60,2,-1,0.2,50,0,200,64,100,2,,,0.5,32,300,0,5,0.1,1000,100,524288,1,8,5,0,0,0.0,12,,,,,,,,,,,,,,,,,,,8,65536,100,,10,,,8192,,1024,-1,,,,0,200,20,1,1,-1,200,4096
1.6551245309279434,job,postgresql,hetzner-4c-8t-32gb,4,32,8,/home/E2ETune-AI4DB/data/postgresql/hetzner-4c-8t-32gb/job/job_134/run_history.jsonl,job_134,data/postgresql/hetzner-4c-8t-32gb/job/job_134,40.2266960144043,1880719000,30,354181,78,6160,54.920555114746094,1378025300,244,5360,101,729374800,4,,,0.6550924301147462,10,27960,63610,695,0.6017765522003174,808211761,991,1975491713,379,1239927169,10,1397790208,2052473800,0.20274474620819094,360337778,,,,,,,,,,,,,,,,,,,292747809,1154526976,988,,31,,,2646401,,4826596,1883881599,,,,100,9001,2010,3507,4705,20622,2401,5880768
4.789134393138478,job,postgresql,hetzner-4c-8t-32gb,4,32,8,/home/E2ETune-AI4DB/data/postgresql/hetzner-4c-8t-32gb/job/job_134/run_history.jsonl,job_134,data/postgresql/hetzner-4c-8t-32gb/job/job_134,78.9098892211914,177484800,104,1992961,7,3797,4.1843085289001465,454499200,110,160,166,73971140,6,,,0.09821837544441224,132,63850,33000,305,0.1465994358062744,1995991361,9731,709560705,752,408065729,1,238214848,852734800,0.8448275566101074,1465647266,,,,,,,,,,,,,,,,,,,2080614017,571399424,1670,,14,,,6705223,,2077956,772234623,,,,50,4801,5780,5274,5240,112799,5801,3468224
1.6221027596454536,job,postgresql,hetzner-4c-8t-32gb,4,32,8,/home/E2ETune-AI4DB/data/postgresql/hetzner-4c-8t-32gb/job/job_134/run_history.jsonl,job_134,data/postgresql/hetzner-4c-8t-32gb/job/job_134,54.44065856933594,1191734500,84,1327381,32,2278,47.26554489135742,579860800,136,8690,209,872385760,9,,,0.7577111721038818,232,14710,96620,245,0.894022274017334,416591441,2721,311549313,70,582132865,7,640140608,1584026800,0.26658656597137453,759713666,,,,,,,,,,,,,,,,,,,1537347969,78000256,478,,5,,,5291379,,192804,1252643583,,,,60,6301,4410,196,8460,49549,4801,6784960
1.6257234474261557,job,postgresql,hetzner-4c-8t-32gb,4,32,8,/home/E2ETune-AI4DB/data/postgresql/hetzner-4c-8t-32gb/job/job_134/run_history.jsonl,job_134,data/postgresql/hetzner-4c-8t-32gb/job/job_134,15.488717079162598,1032134800,159,751321,56,7768,99.5383529663086,1807359400,30,3310,18,485382440,1,,,0.49770603179931644,98,66350,770,755,0.3567986965179444,1577095681,6461,1298483329,690,1929903105,4,2068155904,384803700,0.686013126373291,1869487874,,,,,,,,,,,,,,,,,,,919817665,1652054912,2918,,40,,,995477,,6665380,350703359,,,,10,2201,8140,8586,1520,76188,8301,594048
1.6221493282105908,job,postgresql,hetzner-4c-8t-32gb,4,32,8,/home/E2ETune-AI4DB/data/postgresql/hetzner-4c-8t-32gb/job/job_134/run_history.jsonl,job_134,data/postgresql/hetzner-4c-8t-32gb/job/job_134,33.4432258605957,1440517100,68,1451821,47,3498,34.5655517578125,2125417600,182,2150,53,288819880,2,,,0.314290189743042,208,34630,59750,505,0.8194393157958985,1228671281,6211,60194177,223,172663969,8,1135602432,1161605400,0.034179940819740295,1984973570,,,,,,,,,,,,,,,,,,,1284368257,939836416,2203,,46,,,918175,,3890340,925710591,,,,20,5601,9605,9195,6710,85975,901,1554240
1.6307578049267508,job,postgresql,hetzner-4c-8t-32gb,4,32,8,/home/E2ETune-AI4DB/data/postgresql/hetzner-4c-8t-32gb/job/job_134/run_history.jsonl,job_134,data/postgresql/hetzner-4c-8t-32gb/job/job_134,97.42097473144531,793888300,193,895441,64,6447,86.84449005126953,932882500,44,7350,246,1042734960,8,,,0.9331916809082031,90,46380,43110,495,0.4308974266052246,266876141,4961,1549985921,596,1543502593,3,516792928,230246300,0.8882072448730469,880155554,,,,,,,,,,,,,,,,,,,570211329,1591391872,1238,,10,,,4471145,,4918788,1768137983,,,,70,401,3340,2096,3340,42950,7301,7775616
4.874979690066539,job,postgresql,hetzner-4c-8t-32gb,4,32,8,/home/E2ETune-AI4DB/data/postgresql/hetzner-4c-8t-32gb/job/job_134/run_history.jsonl,job_134,data/postgresql/hetzner-4c-8t-32gb/job/job_134,71.96287536621094,1657641100,20,210481,89,9937,67.22974395751953,235031200,198,3820,129,162653700,7,,,0.21179471015930176,50,10560,80260,60,0.6839354515075684,1640296961,7651,1689795713,288,1629473153,6,920172992,1627430900,0.4964612007141114,1315067042,,,,,,,,,,,,,,,,,,,106761265,2020753536,2432,,19,,,7126206,,7064644,231549535,,,,30,8201,7130,7174,430,122580,3301,2492800
1.6572063400775991,job,postgresql,hetzner-4c-8t-32gb,4,32,8,/home/E2ETune-AI4DB/data/postgresql/hetzner-4c-8t-32gb/job/job_134/run_history.jsonl,job_134,data/postgresql/hetzner-4c-8t-32gb/job/job_134,8.107006072998047,406902000,145,1868341,23,111,16.487367630004883,1194831500,96,9200,66,648033280,3,,,0.5338263511657715,188,81290,23370,940,0.06494003534317017,655412761,1401,994879937,909,816485953,5,1807413504,696604600,0.5809572219848633,205784426,,,,,,,,,,,,,,,,,,,1798066305,514603520,273,,37,,,3307369,,1821060,1401141119,,,,80,3101,895,4117,9580,14021,9901,4874880
4.817683096642473,job,postgresql,hetzner-4c-8t-32gb,4,32,8,/home/E2ETune-AI4DB/data/postgresql/hetzner-4c-8t-32gb/job/job_134/run_history.jsonl,job_134,data/postgresql/hetzner-4c-8t-32gb/job/job_134,21.061355590820312,1482320100,94,1546861,38,8450,22.051528930664062,1540425400,63,5000,205,387112840,10,,,0.4330572605133057,200,16760,52530,385,0.7235866069793702,1109341361,3971,2064004353,829,1426181505,2,985476928,1301557200,0.7120611667633057,458808050,,,,,,,,,,,,,,,,,,,1101462913,697402240,2540,,32,,,6085180,,7494980,1662671359,,,,0,7201,5250,5831,3925,38330,7801,4356160
1.6558780792817873,job,postgresql,hetzner-4c-8t-32gb,4,32,8,/home/E2ETune-AI4DB/data/postgresql/hetzner-4c-8t-32gb/job/job_134/run_history.jsonl,job_134,data/postgresql/hetzner-4c-8t-32gb/job/job_134,59.7935791015625,584524900,168,1071961,74,1437,74.3609848022461,316990200,167,9580,14,939723440,0,,,0.8136616706848145,78,75080,44080,615,0.026206329464912415,80414881,5211,619880897,458,78942953,8,1742694400,85051300,0.366823959350586,1501465634,,,,,,,,,,,,,,,,,,,752328961,1330640768,118,,24,,,2283585,,1390724,1028965375,,,,50,1301,1520,2950,6020,97707,3801,2035968
1.6560379610746168,job,postgresql,hetzner-4c-8t-32gb,4,32,8,/home/E2ETune-AI4DB/data/postgresql/hetzner-4c-8t-32gb/job/job_134/run_history.jsonl,job_134,data/postgresql/hetzner-4c-8t-32gb/job/job_134,84.49407958984375,1867217400,46,103921,97,4990,79.71952819824219,729547200,77,1600,121,261370860,5,,,0.03347257971763611,38,24360,82810,925,0.7809502601623536,1793576641,2241,472413697,643,1045733441,5,1338670080,1772626200,0.7561295032501221,594199586,,,,,,,,,,,,,,,,,,,192288449,1776746624,2037,,9,,,1849779,,3214308,1509575295,,,,40,9901,7730,7872,7680,1208,5301,7326528
1.6511071094345036,job,postgresql,hetzner-4c-8t-32gb,4,32,8,/home/E2ETune-AI4DB/data/postgresql/hetzner-4c-8t-32gb/job/job_134/run_history.jsonl,job_134,data/postgresql/hetzner-4c-8t-32gb/job/job_134,45.59114456176758,365311950,119,1709701,14,5126,28.99547004699707,1649010100,213,6350,186,545646080,5,,,0.7109582901000977,172,56640,14590,80,0.4703039646148682,741601841,8491,1138548993,23,1877082113,6,313013408,556652400,0.16479856967926027,1632408962,,,,,,,,,,,,,,,,,,,1711753857,255425280,1359,,47,,,5420056,,5594820,129292159,,,,90,3901,3960,909,2300,126121,1401,1043264
