cost,benchmark,db_engine,hardware,cores,ram_gb,threads,workload,bgwriter_flush_after,checkpoint_timeout,vacuum_cost_page_dirty,vacuum_cost_page_hit,vacuum_cost_page_miss,domain_name,domain_id,buffer_pool_size,cache_effective_size,per_query_memory,maintenance_memory,temp_memory,log_buffer_size,log_capacity,log_flush_interval,commit_batch_size,io_parallelism,bgwriter_lru_pages,bgwriter_aggressiveness,mask_bgwriter_aggressiveness,checkpoint_completion_ratio,flush_behavior,cleanup_worker_count,cleanup_interval,cleanup_cost_delay,mask_vacuum_cost_delay,cleanup_cost_limit,mask_vacuum_cost_limit,cleanup_scale_factor,mask_cleanup_scale_factor,cleanup_analyze_scale_factor,mask_cleanup_analyze_scale_factor,cleanup_threshold,mask_cleanup_threshold,cleanup_analyze_threshold,mask_cleanup_analyze_threshold,worker_threads,mask_worker_threads,checkpoint_flush_threshold,mask_checkpoint_flush_threshold,join_search_limit,from_search_limit,mask_geqo_effort,mask_geqo_pool_size,mask_geqo_generations,mask_geqo_threshold,geqo_random_seed,mask_geqo_random_seed,stats_target,cursor_bias,mask_cursor_bias,deadlock_detection_time
4.770877879786505,job,postgresql,hetzner-4c-8t-32gb,4,32,8,job_134,64.0,300.0,20.0,1.0,1.0,postgresql_hetzner-4c-8t-32gb,2,8192.0,524288.0,4096.0,65536.0,1024.0,-1.0,,200.0,5.0,1.0,100.0,2.0,1,0.5,0.0,3.0,,2.0,1,-1.0,1,0.2,1,0.1,1,50.0,1,50.0,1,10.0,1,32.0,1,8.0,8.0,1,1,1,1,0.0,1,100.0,0.1,1,1000.0
1.6551245309279434,job,postgresql,hetzner-4c-8t-32gb,4,32,8,job_134,101.0,27960.0,2010.0,3507.0,4705.0,postgresql_hetzner-4c-8t-32gb,2,2646401.0,1975491713.0,5880768.0,1154526976.0,4826596.0,20622.0,,2401.0,695.0,379.0,729374800.0,4.0,1,0.6550924301147462,244.0,30.0,,78.0,1,6160.0,1,54.920555114746094,1,40.2266960144043,1,1378025300.0,1,1880719000.0,1,31.0,1,10.0,1,292747809.0,1239927169.0,1,1,1,1,0.2027447462081909,1,991.0,0.6017765522003174,1,808211761.0
4.789134393138478,job,postgresql,hetzner-4c-8t-32gb,4,32,8,job_134,166.0,63850.0,5780.0,5274.0,5240.0,postgresql_hetzner-4c-8t-32gb,2,6705223.0,709560705.0,3468224.0,571399424.0,2077956.0,112799.0,,5801.0,305.0,752.0,73971140.0,6.0,1,0.0982183754444122,110.0,104.0,,7.0,1,3797.0,1,4.1843085289001465,1,78.9098892211914,1,454499200.0,1,177484800.0,1,14.0,1,132.0,1,2080614017.0,408065729.0,1,1,1,1,0.8448275566101074,1,9731.0,0.1465994358062744,1,1995991361.0
1.6221027596454536,job,postgresql,hetzner-4c-8t-32gb,4,32,8,job_134,209.0,14710.0,4410.0,196.0,8460.0,postgresql_hetzner-4c-8t-32gb,2,5291379.0,311549313.0,6784960.0,78000256.0,192804.0,49549.0,,4801.0,245.0,70.0,872385760.0,9.0,1,0.7577111721038818,136.0,84.0,,32.0,1,2278.0,1,47.26554489135742,1,54.44065856933594,1,579860800.0,1,1191734500.0,1,5.0,1,232.0,1,1537347969.0,582132865.0,1,1,1,1,0.2665865659713745,1,2721.0,0.894022274017334,1,416591441.0
1.6257234474261557,job,postgresql,hetzner-4c-8t-32gb,4,32,8,job_134,18.0,66350.0,8140.0,8586.0,1520.0,postgresql_hetzner-4c-8t-32gb,2,995477.0,1298483329.0,594048.0,1652054912.0,6665380.0,76188.0,,8301.0,755.0,690.0,485382440.0,1.0,1,0.4977060317993164,30.0,159.0,,56.0,1,7768.0,1,99.5383529663086,1,15.488717079162598,1,1807359400.0,1,1032134800.0,1,40.0,1,98.0,1,919817665.0,1929903105.0,1,1,1,1,0.686013126373291,1,6461.0,0.3567986965179444,1,1577095681.0
1.6221493282105908,job,postgresql,hetzner-4c-8t-32gb,4,32,8,job_134,53.0,34630.0,9605.0,9195.0,6710.0,postgresql_hetzner-4c-8t-32gb,2,918175.0,60194177.0,1554240.0,939836416.0,3890340.0,85975.0,,901.0,505.0,223.0,288819880.0,2.0,1,0.314290189743042,182.0,68.0,,47.0,1,3498.0,1,34.5655517578125,1,33.4432258605957,1,2125417600.0,1,1440517100.0,1,46.0,1,208.0,1,1284368257.0,172663969.0,1,1,1,1,0.0341799408197402,1,6211.0,0.8194393157958985,1,1228671281.0
1.6307578049267508,job,postgresql,hetzner-4c-8t-32gb,4,32,8,job_134,246.0,46380.0,3340.0,2096.0,3340.0,postgresql_hetzner-4c-8t-32gb,2,4471145.0,1549985921.0,7775616.0,1591391872.0,4918788.0,42950.0,,7301.0,495.0,596.0,1042734960.0,8.0,1,0.9331916809082031,44.0,193.0,,64.0,1,6447.0,1,86.84449005126953,1,97.42097473144533,1,932882500.0,1,793888300.0,1,10.0,1,90.0,1,570211329.0,1543502593.0,1,1,1,1,0.8882072448730469,1,4961.0,0.4308974266052246,1,266876141.0
4.874979690066539,job,postgresql,hetzner-4c-8t-32gb,4,32,8,job_134,129.0,10560.0,7130.0,7174.0,430.0,postgresql_hetzner-4c-8t-32gb,2,7126206.0,1689795713.0,2492800.0,2020753536.0,7064644.0,122580.0,,3301.0,60.0,288.0,162653700.0,7.0,1,0.2117947101593017,198.0,20.0,,89.0,1,9937.0,1,67.22974395751953,1,71.96287536621094,1,235031200.0,1,1657641100.0,1,19.0,1,50.0,1,106761265.0,1629473153.0,1,1,1,1,0.4964612007141114,1,7651.0,0.6839354515075684,1,1640296961.0
1.6572063400775991,job,postgresql,hetzner-4c-8t-32gb,4,32,8,job_134,66.0,81290.0,895.0,4117.0,9580.0,postgresql_hetzner-4c-8t-32gb,2,3307369.0,994879937.0,4874880.0,514603520.0,1821060.0,14021.0,,9901.0,940.0,909.0,648033280.0,3.0,1,0.5338263511657715,96.0,145.0,,23.0,1,111.0,1,16.487367630004883,1,8.107006072998047,1,1194831500.0,1,406902000.0,1,37.0,1,188.0,1,1798066305.0,816485953.0,1,1,1,1,0.5809572219848633,1,1401.0,0.0649400353431701,1,655412761.0
4.817683096642473,job,postgresql,hetzner-4c-8t-32gb,4,32,8,job_134,205.0,16760.0,5250.0,5831.0,3925.0,postgresql_hetzner-4c-8t-32gb,2,6085180.0,2064004353.0,4356160.0,697402240.0,7494980.0,38330.0,,7801.0,385.0,829.0,387112840.0,10.0,1,0.4330572605133057,63.0,94.0,,38.0,1,8450.0,1,22.051528930664062,1,21.061355590820312,1,1540425400.0,1,1482320100.0,1,32.0,1,200.0,1,1101462913.0,1426181505.0,1,1,1,1,0.7120611667633057,1,3971.0,0.7235866069793702,1,1109341361.0
